prefix_bits,prefix_hex,vendor,registry
24,000000,XEROX CORPORATION,MA-L
24,000001,XEROX CORPORATION,MA-L
24,000002,XEROX CORPORATION,MA-L
24,000003,XEROX CORPORATION,MA-L
24,000004,XEROX CORPORATION,MA-L
24,000005,XEROX CORPORATION,MA-L
24,000006,XEROX CORPORATION,MA-L
24,000007,XEROX CORPORATION,MA-L
24,000008,XEROX CORPORATION,MA-L
24,000009,XEROX CORPORATION,MA-L
24,00000A,OMRON TATEISI ELECTRONICS CO.,MA-L
24,00000B,MATRIX CORPORATION,MA-L
24,00000C,"Cisco Systems, Inc",MA-L
24,00000D,FIBRONICS LTD.,MA-L
24,00000E,FUJITSU LIMITED,MA-L
24,00000F,"NEXT, INC.",MA-L
24,000010,SYTEK INC.,MA-L
24,000011,NORMEREL SYSTEMES,MA-L
24,000012,INFORMATION TECHNOLOGY LIMITED,MA-L
24,000013,CAMEX,MA-L
24,000014,NETRONIX,MA-L
24,000015,DATAPOINT CORPORATION,MA-L
24,000016,DU PONT PIXEL SYSTEMS .,MA-L
24,000017,Oracle,MA-L
24,000018,WEBSTER COMPUTER CORPORATION,MA-L
24,000019,APPLIED DYNAMICS INTERNATIONAL,MA-L
24,00001A,ADVANCED MICRO DEVICES,MA-L
24,00001B,"Novell, Inc.",MA-L
24,00001C,BELL TECHNOLOGIES,MA-L
24,00001D,"Cabletron Systems, Inc.",MA-L
24,00001E,TELSIST INDUSTRIA ELECTRONICA,MA-L
24,00001F,"Telco Systems, Inc.",MA-L
24,000020,DATAINDUSTRIER DIAB AB,MA-L
24,000021,SUREMAN COMP. & COMMUN. CORP.,MA-L
24,000022,VISUAL TECHNOLOGY INC.,MA-L
24,000023,ABB INDUSTRIAL SYSTEMS AB,MA-L
24,000024,CONNECT AS,MA-L
24,000025,RAMTEK CORP.,MA-L
24,000026,"SHA-KEN CO., LTD.",MA-L
24,000027,JAPAN RADIO COMPANY,MA-L
24,000028,PRODIGY SYSTEMS CORPORATION,MA-L
24,000029,IMC NETWORKS CORP.,MA-L
24,00002A,TRW - SEDD/INP,MA-L
24,00002B,"CRISP AUTOMATION, INC",MA-L
24,00002C,AUTOTOTE LIMITED,MA-L
24,00002D,CHROMATICS INC,MA-L
24,00002E,SOCIETE EVIRA,MA-L
24,00002F,TIMEPLEX INC.,MA-L
24,000030,VG LABORATORY SYSTEMS LTD,MA-L
24,000031,"QPSX COMMUNICATIONS, LTD.",MA-L
24,000032,Marconi plc,MA-L
24,000033,EGAN MACHINERY COMPANY,MA-L
24,000034,NETWORK RESOURCES CORPORATION,MA-L
24,000035,SPECTRAGRAPHICS CORPORATION,MA-L
24,000036,ATARI CORPORATION,MA-L
24,000037,OXFORD METRICS LIMITED,MA-L
24,000038,CSS LABS,MA-L
24,000039,TOSHIBA CORPORATION,MA-L
24,00003A,CHYRON CORPORATION,MA-L
24,00003B,"i Controls, Inc.",MA-L
24,00003C,AUSPEX SYSTEMS INC.,MA-L
24,00003D,UNISYS,MA-L
24,00003E,SIMPACT,MA-L
24,00003F,"SYNTREX, INC.",MA-L
24,000040,"APPLICON, INC.",MA-L
24,000041,ICE CORPORATION,MA-L
24,000042,METIER MANAGEMENT SYSTEMS LTD.,MA-L
24,000043,MICRO TECHNOLOGY,MA-L
24,000044,CASTELLE CORPORATION,MA-L
24,000045,FORD AEROSPACE & COMM. CORP.,MA-L
24,000046,OLIVETTI NORTH AMERICA,MA-L
24,000047,NICOLET INSTRUMENTS CORP.,MA-L
24,000048,Seiko Epson Corporation,MA-L
24,000049,"APRICOT COMPUTERS, LTD",MA-L
