received_at,topic,device_id,algorithm,sequence,payload_bytes,packet_index,source_mac,rssi,channel,frequency,frame_type,seen_count,parse_error,raw_payload
2026-06-08T14:14:49.414556+00:00,esp32/wifi/scan,esp32_ineficiente_001,ineficiente,387,202,0,C8:84:8C:4C:5A:E0,-58,1,2412,beacon,1,,
2026-06-08T14:15:41.710596+00:00,esp32/wifi/scan,esp32_001,eficiente,1,3617,0,C8:84:8C:4C:5A:E0,-58,1,2412,beacon,11,,
2026-06-08T14:15:41.710596+00:00,esp32/wifi/scan,esp32_001,eficiente,1,3617,1,C8:84:8C:4C:5A:E1,-58,1,2412,beacon,12,,
2026-06-08T14:15:41.710596+00:00,esp32/wifi/scan,esp32_001,eficiente,1,3617,2,C8:84:8C:4C:5A:E2,-58,1,2412,beacon,11,,
2026-06-08T14:15:41.710596+00:00,esp32/wifi/scan,esp32_001,eficiente,1,3617,3,C8:84:8C:4C:5A:E4,-58,1,2412,beacon,12,,
2026-06-08T14:15:41.710596+00:00,esp32/wifi/scan,esp32_001,eficiente,1,3617,4,B0:7C:51:58:68:41,-80,1,2412,beacon,5,,
2026-06-08T14:15:41.710596+00:00,esp32/wifi/scan,esp32_001,eficiente,1,3617,5,B0:7C:51:58:68:43,-81,1,2412,beacon,3,,
2026-06-08T14:15:41.710596+00:00,esp32/wifi/scan,esp32_001,eficiente,1,3617,6,B0:7C:51:58:68:42,-81,1,2412,beacon,4,,
2026-06-08T14:15:41.710596+00:00,esp32/wifi/scan,esp32_001,eficiente,1,3617,7,B0:7C:51:58:64:E2,-78,5,2432,beacon,15,,
2026-06-08T14:15:41.710596+00:00,esp32/wifi/scan,esp32_001,eficiente,1,3617,8,B0:7C:51:58:64:E0,-77,6,2437,beacon,11,,
2026-06-08T14:15:41.710596+00:00,esp32/wifi/scan,esp32_001,eficiente,1,3617,9,B0:7C:51:58:64:E1,-77,6,2437,beacon,14,,
2026-06-08T14:15:41.710596+00:00,esp32/wifi/scan,esp32_001,eficiente,1,3617,10,B0:7C:51:58:64:E3,-79,6,2437,beacon,10,,
2026-06-08T14:15:41.710596+00:00,esp32/wifi/scan,esp32_001,eficiente,1,3617,11,C8:84:8C:4C:5A:90,-88,6,2437,beacon,6,,
2026-06-08T14:15:41.710596+00:00,esp32/wifi/scan,esp32_001,eficiente,1,3617,12,CA:DD:6A:1A:62:C9,-53,11,2462,beacon,38,,
2026-06-08T14:15:41.710596+00:00,esp32/wifi/scan,esp32_001,eficiente,1,3617,13,CA:DD:6A:1A:60:73,-40,11,2462,beacon,32,,
2026-06-08T14:15:41.710596+00:00,esp32/wifi/scan,esp32_001,eficiente,1,3617,14,CA:DD:6A:1A:5F:65,-53,10,2457,probe_resp,30,,
2026-06-08T14:15:41.710596+00:00,esp32/wifi/scan,esp32_001,eficiente,1,3617,15,CA:DD:6A:1A:40:EB,-70,10,2457,beacon,21,,
2026-06-08T14:15:41.710596+00:00,esp32/wifi/scan,esp32_001,eficiente,1,3617,16,CA:DD:6A:1A:5F:2F,-60,11,2462,beacon,25,,
2026-06-08T14:15:41.710596+00:00,esp32/wifi/scan,esp32_001,eficiente,1,3617,17,CA:DD:6A:1A:5F:11,-61,11,2462,beacon,25,,
2026-06-08T14:15:41.710596+00:00,esp32/wifi/scan,esp32_001,eficiente,1,3617,18,CA:DD:6A:1C:B8:5B,-70,11,2462,probe_resp,14,,
2026-06-08T14:15:41.710596+00:00,esp32/wifi/scan,esp32_001,eficiente,1,3617,19,CA:DD:6A:1A:5F:C9,-71,11,2462,probe_resp,26,,
2026-06-08T14:15:41.710596+00:00,esp32/wifi/scan,esp32_001,eficiente,1,3617,20,F2:58:2E:02:4E:E1,-66,10,2457,probe_req,3,,
2026-06-08T14:15:41.710596+00:00,esp32/wifi/scan,esp32_001,eficiente,1,3617,21,CA:DD:6A:1A:5F:71,-86,11,2462,probe_resp,14,,
2026-06-08T14:15:41.710596+00:00,esp32/wifi/scan,esp32_001,eficiente,1,3617,22,CA:DD:6A:1A:5E:A9,-67,11,2462,probe_resp,22,,
2026-06-08T14:15:41.710596+00:00,esp32/wifi/scan,esp32_001,eficiente,1,3617,23,CA:DD:6A:1A:60:5B,-82,11,2462,beacon,12,,
2026-06-08T14:15:41.710596+00:00,esp32/wifi/scan,esp32_001,eficiente,1,3617,24,CA:DD:6A:1C:B8:53,-81,11,2462,beacon,15,,
2026-06-08T14:15:41.710596+00:00,esp32/wifi/scan,esp32_001,eficiente,1,3617,25,C8:84:8C:4C:5A:91,-89,6,2437,beacon,1,,
